category,total_orders,total_revenue,active_months,monthly_mean,monthly_std,cv,peak_to_mean,peak_to_min,peak_month_share,peak_quarter_share,seasonal_index_max,peak_month,peak_quarter,confidence_level,event_spike_count,max_spike_z_score,weekly_pattern_strength,trend_strength,seasonality_score,seasonality_type
diapers_and_hygiene,1,76.0,1,0.08333333333333333,0.2763853991962833,3.3166247903554,12.0,1.0,1.0,1.0,12.0,12,4,low,0.0,,1.4,0.42307692307692313,3.3166247903554,low_confidence
flowers,8,270.5,2,0.6666666666666666,1.699673171197595,2.5495097567963927,9.0,3.0,0.75,1.0,9.0,11,4,low,0.0,,1.4482758620689653,0.48717948717948717,2.5495097567963927,low_confidence
security_and_services,2,283.28999999999996,2,0.16666666666666666,0.3726779962499649,2.2360679774997894,6.0,1.0,0.5,0.5,6.0,1,1,low,0.0,,0.0,0.2307692307692306,2.2360679774997894,low_confidence
arts_and_craftmanship,2,151.89000000000001,2,0.16666666666666666,0.3726779962499649,2.2360679774997894,6.0,1.0,0.5,0.5,6.0,5,2,low,0.0,,1.2173913043478262,0.07692307692307698,2.2360679774997894,low_confidence
pc_gamer,4,519.96,3,0.3333333333333333,0.6236095644623235,1.8708286933869707,6.0,2.0,0.5,1.0,6.0,4,2,low,0.0,,0.5714285714285714,0.26923076923076933,1.8708286933869707,low_confidence
small_appliances_home_oven_and_coffee,3,734.79,3,0.25,0.4330127018922193,1.7320508075688772,4.0,1.0,0.3333333333333333,0.6666666666666666,4.0,6,3,low,0.0,,0.875,0.26923076923076916,1.7320508075688772,low_confidence
construction_tools_lights,17,4053.48,6,1.4166666666666667,2.43099202430247,1.715994370095861,6.352941176470588,9.0,0.5294117647058824,0.7647058823529411,6.352941176470588,11,4,low,2.0,4.028772486991291,0.6074380165289256,0.5512820512820513,1.715994370095861,low_confidence
drinks,70,4646.65,9,5.833333333333333,8.658650138573693,1.4843400237554902,5.314285714285715,31.0,0.44285714285714284,0.7857142857142857,5.314285714285715,12,4,low,3.0,3.9765823953704036,0.5365853658536586,0.6674937965260547,1.4843400237554902,low_confidence
furniture_mattress_and_upholstery,18,2548.2799999999997,7,1.5,2.179449471770337,1.452966314513558,5.333333333333333,8.0,0.4444444444444444,0.5555555555555556,5.333333333333333,12,4,low,0.0,,1.135135135135135,0.49999999999999994,1.452966314513558,low_confidence
cds_dvds_musicals,11,665.0,5,0.9166666666666666,1.3202482931462383,1.440270865250442,4.363636363636364,4.0,0.36363636363636365,0.5454545454545454,4.363636363636364,7,3,low,0.0,,1.0,0.5288461538461537,1.440270865250442,low_confidence
christmas_supplies,48,2826.94,8,4.0,5.744562646538029,1.4361406616345072,4.5,18.0,0.375,0.8125,4.5,11,4,low,1.0,3.1776705873085374,0.896,0.8076923076923077,1.4361406616345072,low_confidence
construction_tools_safety,34,7846.9,6,2.8333333333333335,4.0380138131952386,1.4251813458336136,4.235294117647059,12.0,0.35294117647058826,0.8235294117647058,4.235294117647059,11,4,low,2.0,4.299366563289115,0.7924528301886792,0.8397435897435898,1.4251813458336136,low_confidence
fashion_childrens_clothes,4,349.98,4,0.3333333333333333,0.4714045207910317,1.4142135623730951,3.0,1.0,0.25,0.5,3.0,5,2,low,0.0,,1.1428571428571428,0.30769230769230765,1.4142135623730951,low_confidence
la_cuisine,10,1273.99,6,0.8333333333333334,1.1426091000668408,1.3711309200802089,4.8,4.0,0.4,0.6,4.8,7,3,low,0.0,,1.1538461538461537,0.17307692307692293,1.3711309200802089,low_confidence
party_supplies,9,1843.4,5,0.75,1.0103629710818451,1.3471506281091268,4.0,3.0,0.3333333333333333,0.7777777777777778,4.0,11,4,low,0.0,,1.289473684210526,0.8846153846153847,1.3471506281091268,low_confidence
computers,121,156280.8,7,10.083333333333334,13.456462718295953,1.3345252282607556,3.867768595041322,39.0,0.32231404958677684,0.5537190082644629,3.867768595041322,9,3,medium,1.0,3.6013801035584714,0.9491525423728815,0.7031558185404341,1.3345252282607556,trend_driven
music,11,1558.39,6,0.9166666666666666,1.1873172373979173,1.2952551680704554,4.363636363636364,4.0,0.36363636363636365,0.5454545454545454,4.363636363636364,6,2,low,1.0,5.294651389216606,1.2894736842105263,0.3365384615384615,1.2952551680704554,low_confidence
construction_tools_construction,100,19221.879999999997,10,8.333333333333334,10.442966798547028,1.2531560158256432,4.319999999999999,36.0,0.36,0.73,4.319999999999999,11,4,medium,5.0,5.2946513892166065,0.5230978260869565,0.735042735042735,1.2531560158256432,trend_driven
books_imported,11,947.99,6,0.9166666666666666,1.114924013354971,1.2162807418417865,3.272727272727273,3.0,0.2727272727272727,0.45454545454545453,3.272727272727273,9,4,low,1.0,3.6787679096857047,1.5399999999999998,0.8076923076923076,1.2162807418417865,low_confidence
costruction_tools_tools,21,4087.29,6,1.75,2.1262251370288454,1.2149857925879117,3.4285714285714284,6.0,0.2857142857142857,0.7142857142857143,3.4285714285714284,12,4,low,1.0,3.7172095796206506,0.6494845360824741,0.9038461538461539,1.2149857925879117,low_confidence
home_construction,110,23742.45,11,9.166666666666666,10.526421783092086,1.148336921791864,3.6,33.0,0.3,0.7,3.6,11,4,medium,5.0,4.877628741091549,0.42028985507246386,0.7738927738927738,1.148336921791864,trend_driven
cine_photo,8,695.0,7,0.6666666666666666,0.6236095644623235,0.9354143466934853,3.0,2.0,0.25,0.5,3.0,4,2,low,0.0,,0.7777777777777778,0.03846153846153844,0.9354143466934853,low_confidence
agro_industry_and_commerce,48,29179.2,11,4.0,3.7416573867739413,0.9354143466934853,3.25,13.0,0.2708333333333333,0.5625,3.25,11,4,low,4.0,4.58822970783415,0.8700564971751412,0.467455621301775,0.9354143466934853,low_confidence
food_drink,104,7286.9400000000005,10,8.666666666666666,8.086339647138804,0.9330391900544774,3.230769230769231,14.0,0.2692307692307692,0.5865384615384616,3.230769230769231,11,4,medium,3.0,3.7172095796206497,0.6968325791855203,0.7664835164835164,0.9330391900544774,trend_driven
industry_commerce_and_business,34,8656.67,10,2.8333333333333335,2.5110865288865605,0.8862658337246684,3.176470588235294,9.0,0.2647058823529412,0.5882352941176471,3.176470588235294,12,4,low,2.0,4.58822970783415,0.7543103448275861,0.7606837606837608,0.8862658337246684,low_confidence
fashion_sport,21,1725.0200000000004,10,1.75,1.479019945774904,0.8451542547285166,2.857142857142857,5.0,0.23809523809523808,0.5714285714285714,2.857142857142857,6,2,low,0.0,,0.8076923076923076,0.023076923076923016,0.8451542547285166,low_confidence
kitchen_dining_laundry_garden_furniture,105,18522.149999999998,12,8.75,7.292976072907411,0.833482979760847,3.2,28.0,0.26666666666666666,0.5523809523809524,3.2,11,4,medium,2.0,4.145817757457362,0.5228215767634854,0.625,0.833482979760847,trend_driven
home_comfort_2,17,609.1800000000001,9,1.4166666666666667,1.114924013354971,0.7870051858976265,2.1176470588235294,3.0,0.17647058823529413,0.35294117647058826,2.1176470588235294,3,4,low,0.0,,1.7500000000000002,0.1410256410256411,0.7870051858976265,low_confidence
stationery,897,91472.94,12,74.75,58.325416129391364,0.7802731254768075,3.0635451505016724,32.714285714285715,0.2552954292084727,0.5206243032329989,3.0635451505016724,12,4,high,6.0,3.6576830037630694,0.5225265017667844,0.6874370171313402,0.7802731254768075,single_month_spike
electronics,810,55200.34,12,67.5,52.580890064737396,0.7789761491072207,2.8,17.181818181818183,0.23333333333333334,0.5024691358024691,2.8,12,4,high,9.0,4.507963736127099,0.4672228843861741,0.7273097273097273,0.7789761491072207,event_driven
books_technical,43,5762.219999999999,11,3.5833333333333335,2.7525240941522906,0.7681462588331973,2.511627906976744,9.0,0.20930232558139536,0.4418604651162791,2.511627906976744,8,3,low,4.0,4.299366563289115,0.95703125,0.6880341880341879,0.7681462588331973,low_confidence
home_appliances,232,23071.73,11,19.333333333333332,14.24975633319937,0.7370563620620364,2.1724137931034484,6.0,0.1810344827586207,0.38362068965517243,2.1724137931034484,6,3,high,5.0,3.3061713855711155,0.47791164658634555,0.3351648351648351,0.7370563620620364,event_driven
costruction_tools_garden,62,8731.89,10,5.166666666666667,3.8042374035044424,0.736304013581505,2.7096774193548385,14.0,0.22580645161290322,0.45161290322580644,2.7096774193548385,11,4,low,2.0,3.6655765403852127,0.9210526315789476,0.6428571428571427,0.736304013581505,low_confidence
signaling_and_security,33,4248.8099999999995,10,2.75,2.0052015692526606,0.7291642070009675,2.5454545454545454,7.0,0.21212121212121213,0.3939393939393939,2.5454545454545454,10,3,low,4.0,5.294651389216606,0.6594202898550724,0.5879120879120878,0.7291642070009675,low_confidence
audio,159,17452.67,11,13.25,9.584057943620055,0.7233251278203815,2.490566037735849,6.6,0.20754716981132076,0.5094339622641509,2.490566037735849,11,4,medium,5.0,4.756352128694774,0.8045977011494253,0.6235431235431237,0.7233251278203815,event_driven
watches_gifts,2073,475610.7099999999,12,172.75,121.4668164561828,0.7031364194279757,2.454413892908828,38.54545454545455,0.20453449107573565,0.5012059816690786,2.454413892908828,11,4,high,5.0,4.91160107791057,0.329936305732484,0.8709179970972423,0.7031364194279757,event_driven
furniture_bedroom,37,8238.630000000001,11,3.0833333333333335,2.0999338613923584,0.6810596307218459,2.5945945945945943,8.0,0.21621621621621623,0.2972972972972973,2.5945945945945943,1,2,low,2.0,5.294651389216606,1.3222222222222222,0.21634615384615366,0.6810596307218459,low_confidence
fashion_underwear_beach,80,6896.85,12,6.666666666666667,4.478342947514801,0.6717514421272202,2.1,14.0,0.175,0.375,2.1,9,3,low,0.0,,1.1367521367521367,0.5879120879120878,0.6717514421272202,low_confidence
art,32,8981.34,10,2.6666666666666665,1.748014746950253,0.6555055301063449,2.25,6.0,0.1875,0.34375,2.25,5,2,low,5.0,4.58822970783415,0.5384615384615384,0.24358974358974358,0.6555055301063449,low_confidence
consoles_games,640,82886.93,12,53.333333333333336,34.499597421161624,0.6468674516467804,2.30625,8.2,0.1921875,0.4828125,2.30625,11,4,high,3.0,5.013566882126165,0.29567779960707274,0.770481550969356,0.6468674516467804,event_driven
fashio_female_clothing,27,1963.38,10,2.25,1.4215601757693317,0.6318045225641474,1.7777777777777777,4.0,0.14814814814814814,0.4074074074074074,1.7777777777777777,5,3,low,0.0,,1.5555555555555554,0.2596153846153848,0.6318045225641474,low_confidence
garden_tools,1934,256949.19999999998,12,161.16666666666666,100.4662740536456,0.6233688152242748,2.6680455015511892,11.944444444444445,0.22233712512926576,0.4581178903826267,2.6680455015511892,11,4,high,8.0,5.132860906939456,0.3532482598607888,0.6232558139534883,0.6233688152242748,event_driven
toys,2404,299056.71,12,200.33333333333334,123.02935512397936,0.6141232368917439,2.211314475873544,10.804878048780488,0.18427620632279534,0.46921797004991683,2.211314475873544,11,4,high,7.0,4.937671024763315,0.3882754994742377,0.8270533078659489,0.6141232368917439,event_driven
books_general_interest,214,18446.0,12,17.833333333333332,10.605292179955356,0.594689281118992,2.074766355140187,18.5,0.17289719626168223,0.38317757009345793,2.074766355140187,11,4,high,5.0,4.431155976501444,0.6491935483870968,0.6195426195426194,0.594689281118992,event_driven
home_appliances_2,82,21051.09,12,6.833333333333333,4.017323597731316,0.5879010143021438,2.1951219512195124,15.0,0.18292682926829268,0.36585365853658536,2.1951219512195124,8,4,low,3.0,4.299366563289116,0.5550660792951541,0.5743589743589743,0.5879010143021438,low_confidence
home_confort,246,37270.8,11,20.5,11.89887949906769,0.5804331462959849,1.951219512195122,13.333333333333334,0.16260162601626016,0.34959349593495936,1.951219512195122,11,3,high,3.0,4.495959034808915,0.5000000000000001,0.6057692307692306,0.5804331462959849,event_driven
musical_instruments,241,78488.46,12,20.083333333333332,11.49969806366913,0.5725990737096663,2.0414937759336103,41.0,0.17012448132780084,0.4190871369294606,2.0414937759336103,11,4,high,4.0,4.765708143605981,0.27495908346972164,0.8076923076923076,0.5725990737096663,event_driven
food,102,8346.380000000001,12,8.5,4.856267428111155,0.571325579777783,2.235294117647059,19.0,0.18627450980392157,0.3235294117647059,2.235294117647059,3,4,medium,6.0,3.975714565497165,0.6507936507936508,0.2307692307692307,0.571325579777783,event_driven
tablets_printing_image,59,6260.449999999999,11,4.916666666666667,2.691292543659191,0.5473815343035642,1.830508474576271,9.0,0.15254237288135594,0.3728813559322034,1.830508474576271,4,2,low,2.0,5.2946513892166065,0.8860759493670887,0.07264957264957245,0.5473815343035642,low_confidence
auto,1383,234550.09,12,115.25,61.71186406734662,0.5354608595865217,2.0997830802603037,8.962962962962964,0.1749819233550253,0.4410701373825018,2.0997830802603037,11,4,high,6.0,4.821905257066261,0.437270341207349,0.7070883661792753,0.5354608595865217,event_driven
bed_bath_table,4423,490596.92000000004,12,368.5833333333333,190.53803571873925,0.5169469655493717,2.181324892606828,18.697674418604652,0.18177707438390234,0.3893285100610445,2.181324892606828,11,4,high,3.0,5.172370668766205,0.28235547886108714,0.6611653272101033,0.5169469655493717,event_driven
baby,1173,148434.88,12,97.75,50.4564581264546,0.5161785997591264,1.8823529411764706,5.935483870967742,0.1568627450980392,0.38618925831202044,1.8823529411764706,11,4,high,3.0,4.067695609646374,0.426130295478818,0.807483277591973,0.5161785997591264,event_driven
dvds_blu_ray,34,3409.88,12,2.8333333333333335,1.4624940645653537,0.5161743757289483,2.1176470588235294,6.0,0.17647058823529413,0.3235294117647059,2.1176470588235294,8,3,low,2.0,3.6787679096857056,1.25,0.19230769230769226,0.5161743757289483,low_confidence
perfumery,1602,210943.55000000002,12,133.5,67.68985645328749,0.5070401232455992,2.149812734082397,9.89655172413793,0.17915106117353308,0.4288389513108614,2.149812734082397,11,4,high,5.0,5.002874954925771,0.38788075178224235,0.662020905923345,0.5070401232455992,event_driven
computers_accessories,2546,391786.29,12,212.16666666666666,102.10193708032945,0.4812345816826212,2.0314218381775335,17.958333333333332,0.16928515318146112,0.36645718774548314,2.0314218381775335,11,4,high,5.0,4.949016146446784,0.5263399693721286,0.6166339461003034,0.4812345816826212,event_driven
fixed_telephony,122,27604.940000000002,12,10.166666666666666,4.86198404860494,0.4782279392070433,1.8688524590163935,3.8,0.1557377049180328,0.4180327868852459,1.8688524590163935,1,1,medium,2.0,3.97571456549716,0.7594339622641509,0.6396761133603238,0.4782279392070433,early_year
fashion_bags_accessories,992,79352.76,12,82.66666666666667,39.42151133018058,0.47687312092960377,2.153225806451613,5.933333333333334,0.17943548387096775,0.3971774193548387,2.153225806451613,11,4,high,6.0,4.999314950887972,0.5653846153846154,0.613656006914434,0.47687312092960377,event_driven
air_conditioning,110,27269.21,12,9.166666666666666,4.355711448457327,0.4751685216498902,1.7454545454545456,5.333333333333333,0.14545454545454545,0.2727272727272727,1.7454545454545456,3,1,medium,1.0,3.3280183615312686,0.654471544715447,0.04807692307692329,0.4751685216498902,weekly_pattern
sports_leisure,3540,435674.13999999996,12,295.0,138.63922004012187,0.469963457763125,1.8372881355932202,9.508771929824562,0.15310734463276837,0.3926553672316384,1.8372881355932202,11,4,high,3.0,5.070611055171554,0.4443559096945552,0.7888163497019586,0.469963457763125,event_driven
telephony,1969,135508.26,12,164.08333333333334,77.0167279809321,0.46937569109760546,2.090401218892839,20.176470588235293,0.17420010157440324,0.4062976130015236,2.090401218892839,11,4,high,4.0,5.174676494812923,0.3027119472269728,0.5618972863870821,0.46937569109760546,event_driven
unknown,785,100066.8,12,65.41666666666667,29.915041738600703,0.45730000109962854,2.0178343949044586,13.2,0.1681528662420382,0.3834394904458599,2.0178343949044586,12,4,high,5.0,3.332432095071338,0.3469827586206895,0.543997668997669,0.45730000109962854,event_driven
fashion_shoes,167,14674.5,12,13.916666666666666,6.264427791550921,0.4501385239437788,1.5808383233532934,22.0,0.1317365269461078,0.3473053892215569,1.5808383233532934,5,2,medium,2.0,3.1776705873085374,0.5361702127659576,0.3968531468531468,0.4501385239437788,mid_year
fashion_male_clothing,81,8125.5599999999995,12,6.75,3.031088913245535,0.4490502093697089,1.7777777777777777,12.0,0.14814814814814814,0.37037037037037035,1.7777777777777777,8,3,low,2.0,4.299366563289115,0.8584905660377359,0.4134615384615385,0.4490502093697089,low_confidence
housewares,2383,222518.16,12,198.58333333333334,87.65791306107066,0.44141626384089294,1.737305916911456,16.428571428571427,0.1447754930759547,0.3256399496433068,1.737305916911456,11,4,high,3.0,4.813335651953963,0.37419467177433385,0.6061315496098105,0.44141626384089294,event_driven
health_beauty,3305,473833.0,12,275.4166666666667,119.57317029984425,0.4341537196968626,1.8844175491679274,6.569620253164557,0.15703479576399396,0.3833585476550681,1.8844175491679274,11,4,high,3.0,5.052319781115498,0.39666936509772166,0.6916407292129836,0.4341537196968626,event_driven
office_furniture,612,126275.08,12,51.0,21.67179426505029,0.4249371424519665,1.9019607843137254,16.166666666666668,0.15849673202614378,0.2973856209150327,1.9019607843137254,7,4,high,2.0,3.9253449954537003,0.463317384370016,0.2537668517049961,0.4249371424519665,weekly_pattern
cool_stuff,2161,381414.3,12,180.08333333333334,75.85672716084946,0.4212312475382663,1.5881536325775103,9.533333333333333,0.13234613604812587,0.35122628412771867,1.5881536325775103,11,4,high,1.0,4.53667660288411,0.33042989603821304,0.7416621839698763,0.4212312475382663,holiday_q4
luggage_accessories,556,75088.7,12,46.333333333333336,18.834070782022195,0.40649073630263727,1.553956834532374,18.0,0.12949640287769784,0.3057553956834532,1.553956834532374,7,3,high,8.0,3.9355432949840705,0.6319921491658488,0.4925213675213673,0.40649073630263727,event_driven
furniture_living_room,203,33883.44,12,16.916666666666668,6.836889318656223,0.4041510927284467,1.7142857142857142,3.625,0.14285714285714285,0.2857142857142857,1.7142857142857142,11,3,high,5.0,4.934046957757302,0.4227053140096618,0.2771883289124669,0.4041510927284467,event_driven
furniture_decor,3111,324587.60000000003,12,259.25,99.42428023375376,0.38350734902122957,2.067502410800386,4.0606060606060606,0.17229186756669881,0.3555126968820315,2.067502410800386,11,4,high,2.0,5.013403249314174,0.3496115427302997,0.4156859931113662,0.38350734902122957,holiday_q4
pet_shop,682,84156.32000000002,12,56.833333333333336,18.9333626760336,0.3331383462058698,1.4428152492668622,6.833333333333333,0.12023460410557185,0.3152492668621701,1.4428152492668622,11,4,high,2.0,3.3692257207237613,0.4063981042654028,0.6219512195121951,0.3331383462058698,stable
market_place,174,19314.91,12,14.5,4.752192476461084,0.3277374121697299,1.5172413793103448,4.4,0.12643678160919541,0.3160919540229885,1.5172413793103448,8,2,medium,4.0,3.9757145654971655,0.5364963503649633,0.09440559440559428,0.3277374121697299,event_driven
small_appliances,295,96841.18000000001,12,24.583333333333332,7.216397223607421,0.293548361638268,1.3016949152542374,5.333333333333333,0.10847457627118644,0.30847457627118646,1.3016949152542374,8,3,high,2.0,3.3582402799349804,0.3793103448275863,0.3978365384615382,0.293548361638268,stable
